id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1606959089799827458,Sun Dec 25 10:24:37 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @pipihfiles: Pildun Qatar 2022 adalah penyelenggaraan terbaik sepanjang sejarah. Di dalam lapangan tercatat rekor gol terbanyak &amp; di lua…,pildun qatar penyelenggaraan terbaik sejarah dalam lapangan tercatat rekor gol amp lua,in,0,3,Artashir_,,,pipihfiles,,
1606955914623582208,Sun Dec 25 10:12:00 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#QatarWorldCup2022 #Qatar2022 #Quito #QuaiNetwork #QatarWorldCup #quackityfanart #quotes #WinterStorm #WorldcupQatar2022 #WorldCup2022 #WhiteGirl #whamageddon #WeStandWithMegan #Ethereum #EmilyInParis #Eraserheads2022 #Evri #Enflasyon #EXO #RebornRichEp15 #art #RIPMampintsha #Job https://t.co/MYwQWjndqV,,und,0,0,ShresthaTiwari4,False,"QatarWorldCup2022, Qatar2022, Quito, QuaiNetwork, QatarWorldCup, quackityfanart, quotes, WinterStorm, WorldcupQatar2022, WorldCup2022, WhiteGirl, whamageddon, WeStandWithMegan, Ethereum, EmilyInParis, Eraserheads2022, Evri, Enflasyon, EXO, RebornRichEp15, art, RIPMampintsha, Job",,,
1606954286440939522,Sun Dec 25 10:05:32 +0000 2022,"<a href=""http://fajar.co.id/"" rel=""nofollow"">FAJAR.CO.ID</a>",Wasit Final Piala Dunia 2022 Akui Bikin Kesalahan yang Rugikan Prancis https://t.co/Sf96dfz8Yv #FinalPialaDunia2022 #PialaDunia2022 #SzymonMarciniak,wasit final piala dunia akui bikin kesalahan rugikan prancis,in,1,0,fajaronline,False,"FinalPialaDunia2022, PialaDunia2022, SzymonMarciniak",,"Jakarta, Indonesia",
1606953873230692352,Sun Dec 25 10:03:53 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 2022 menjadi tahun yang luar biasa bagi Lionel Messi 🎄

#MegaBintang #Argentina #PialaDunia2022 #FIFAWorldCup #Qatar2022 https…",lionel messi https,in,0,9,amaro_sobri,,"MegaBintang, Argentina, PialaDunia2022, FIFAWorldCup, Qatar2022",GOAL_ID,,
1606952873564459008,Sun Dec 25 09:59:55 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @YareY4r3Daze: Lengkap, all Goals #FIFAWorldCup, yg akhirnya dijuarai oleh Argentina, total 172 goal, rekor terbanyak dalam satu turname…",lengkap all goals dijuarai argentina total goal rekor dalam turname,in,0,29,Junna_id,,FIFAWorldCup,YareY4r3Daze,"Bali, Indonesia",
1606949873550491648,Sun Dec 25 09:48:00 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pola andalan dari penonton enak banget buat dapat profit

☞ https://t.co/31dMz0tKiG

#rtpslotgacor #pragmaticplay #malang #riau #likeforlike #rtpslot #fypage #slotgacor  #pialadunia2022 #fff #lfl #slotgacorhariini #fyp #palembang #bandung #medan #jakarta #surabaya #lampung https://t.co/tSehNPJtEF",pola andalan penonton enak banget profit,in,0,0,Slotasiabet2,False,"rtpslotgacor, pragmaticplay, malang, riau, likeforlike, rtpslot, fypage, slotgacor, pialadunia2022, fff, lfl, slotgacorhariini, fyp, palembang, bandung, medan, jakarta, surabaya, lampung",,DKI Jakarta,
1606949747826331648,Sun Dec 25 09:47:30 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pola andalan dari penonton enak banget buat dapat profit

☞ https://t.co/bDLm3r97VJ

#rtpslotgacor #pragmaticplay #malang #riau #likeforlike #rtpslot #fypage #slotgacor  #pialadunia2022 #fff #lfl #slotgacorhariini #fyp #palembang #bandung #medan #jakarta #surabaya #lampung https://t.co/NVvAXymWqK",pola andalan penonton enak banget profit,in,0,0,Slotasiabet1,False,"rtpslotgacor, pragmaticplay, malang, riau, likeforlike, rtpslot, fypage, slotgacor, pialadunia2022, fff, lfl, slotgacorhariini, fyp, palembang, bandung, medan, jakarta, surabaya, lampung",,"DKI Jakarta, Indonesia",
1606949313560866819,Sun Dec 25 09:45:46 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@SiaranBolaLive Kayanya orang yang jelek jelekin qatar cuma orang barat yang iri kalo Pildun diselanggarain di Asia deh wkwk,kayaknya jelek jelekin qatar barat iri pildun diselanggarain asia deh wkwk,in,30,3,IrsatOfficial,,,SiaranBolaLive,"Cibitung, Indonesia",
1606946108848365568,Sun Dec 25 09:33:02 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 2022 menjadi tahun yang luar biasa bagi Lionel Messi 🎄

#MegaBintang #Argentina #PialaDunia2022 #FIFAWorldCup #Qatar2022 https…",lionel messi https,in,0,9,edy10031976,,"MegaBintang, Argentina, PialaDunia2022, FIFAWorldCup, Qatar2022",GOAL_ID,"Semarang kota , Indonesia",
1606944937706409986,Sun Dec 25 09:28:23 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 2022 menjadi tahun yang luar biasa bagi Lionel Messi 🎄

#MegaBintang #Argentina #PialaDunia2022 #FIFAWorldCup #Qatar2022 https…",lionel messi https,in,0,9,epamb_,,"MegaBintang, Argentina, PialaDunia2022, FIFAWorldCup, Qatar2022",GOAL_ID,"Klaten, Jawa Tengah",
1606944815148859392,Sun Dec 25 09:27:54 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 2022 menjadi tahun yang luar biasa bagi Lionel Messi 🎄

#MegaBintang #Argentina #PialaDunia2022 #FIFAWorldCup #Qatar2022 https…",lionel messi https,in,0,9,depodIGHIN,,"MegaBintang, Argentina, PialaDunia2022, FIFAWorldCup, Qatar2022",GOAL_ID,Prince Milanello™,
1606944743271063554,Sun Dec 25 09:27:37 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 🗣️ ""Terima kasih telah memberikan saya Piala Dunia""

Kiper terbaik #PialaDunia2022 Emiliano Martinez memberikan pesan kepada s…",terima kasih piala dunia kiper terbaik emiliano martinez pesan s,in,0,9,Ramdhan_NH,,PialaDunia2022,GOAL_ID,BOGOR ,
1606943282743095297,Sun Dec 25 09:21:48 +0000 2022,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2022 menjadi tahun yang luar biasa bagi Lionel Messi 🎄

#MegaBintang #Argentina #PialaDunia2022 #FIFAWorldCup #Qatar2022 https://t.co/bcSO16FaRh",lionel messi,in,78,9,GOAL_ID,False,"MegaBintang, Argentina, PialaDunia2022, FIFAWorldCup, Qatar2022",,Indonesia,
1606938469221433345,Sun Dec 25 09:02:41 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Silahkan di kolab angka Pasaran SINGAPORE hari ini, untuk angka jadi 4D bisa langsung hubungi Eyang, di 081290619516, monggo.

#sgpeyang #sgpjitu #sydneypaus #sydneyangkajitu #togel #prediksitogel #angkajitutogel #angkaeyang #bandaronline #pialadunia2022 #fifaworldcup https://t.co/XCxXTSj5x6",silahkan kolab angka pasaran singapore angka hubungi eyang monggo,in,1,0,eyang_sugih,False,"sgpeyang, sgpjitu, sydneypaus, sydneyangkajitu, togel, prediksitogel, angkajitutogel, angkaeyang, bandaronline, pialadunia2022, fifaworldcup",,,
1606937363028283392,Sun Dec 25 08:58:17 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GOAL_ID: 🗣️ ""Terima kasih telah memberikan saya Piala Dunia""

Kiper terbaik #PialaDunia2022 Emiliano Martinez memberikan pesan kepada s…",terima kasih piala dunia kiper terbaik emiliano martinez pesan s,in,0,9,jussunkiss,,PialaDunia2022,GOAL_ID,"Sukoharjo, Indonesia",
1606936918532689920,Sun Dec 25 08:56:31 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Live Streaming Basketball hari ini. 
Link : ada digambar (biar nggk keciduk kominfo)

(05.00) Boston Celtics vs Milwaukee Bucks
(08.00) Golden State Warriors vs Memphis Grizzlies
(10.30) Denver Nuggets vs Phoenix Suns

#PialaDunia2022 #livestreaming #nba #basketball https://t.co/31T80f8nVc",live streaming basketball link digambar biar nggk keciduk kominfo boston celtics vs milwaukee bucks golden state warriors vs memphis grizzlies denver nuggets vs phoenix suns,en,0,0,nodrakorfilm,False,"PialaDunia2022, livestreaming, nba, basketball",,"Jawa Timur, Indonesia",
1606936722662920193,Sun Dec 25 08:55:44 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Live Streaming Basketball hari ini. 
Link : ada digambar (biar nggk keciduk kominfo)

(00.00) New York Knicks vs Philadelphia 76ers
(02.30) Dallas Mavericks vs Los Angeles Lakers

#QatarWorldCup2022 #FIFAWorldCup2022 
#PialaDunia2022 #livestreaming #nba #basketball https://t.co/lEM0qiy3VM",live streaming basketball link digambar biar nggk keciduk kominfo new york knicks vs philadelphia ers dallas mavericks vs los angeles lakers,in,0,0,nodrakorfilm,False,"QatarWorldCup2022, FIFAWorldCup2022, PialaDunia2022, livestreaming, nba, basketball",,"Jawa Timur, Indonesia",
1606936208193785856,Sun Dec 25 08:53:42 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Live Streaming Sepakbola hari ini. 
Link : ada digambar (biar nggk keciduk kominfo)

(20.00) Gaziantepspor x Besiktas
(23.00) Galatasaray x Istanbulspor

#QatarWorldCup2022 #FIFAWorldCup2022 
#PialaDunia2022 #livestreaming https://t.co/pppWbdoV0O",live streaming sepakbola link digambar biar nggk keciduk kominfo gaziantepspor x besiktas galatasaray x istanbulspor,in,0,0,nodrakorfilm,False,"QatarWorldCup2022, FIFAWorldCup2022, PialaDunia2022, livestreaming",,"Jawa Timur, Indonesia",
1606935849731776513,Sun Dec 25 08:52:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Gargi32354857: Thanks so much  🙏🏽🙏🏽🙇🏼‍♀️💃🏽🎉
We all must 
#ScoreForSoil 
#SaveSoil 
#SauvonsLesSols 
#WorldcupQatar2022 
#WorldCup  
#Wo…",terima kasih so much we all must,en,0,88,shomboooo,,"ScoreForSoil, SaveSoil, SauvonsLesSols, WorldcupQatar2022, WorldCup",Gargi32354857,"Tamil Nadu, India",
